,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,West,40.74529,-74.19626,Private room in home,Private room,2,1 shared bath,1.0,2.0,81.0,6,1125,6,6,1125,1125,6.0,1125.0,1,0,26,56,331,98,10,1,4.89,4.94,4.92,4.98,4.94,4.25,4.84,1,5,0,5,0,1.03
11,within an hour,1.0,1.0,0.0,1.0,1.0,1.0,0.0,North,40.78181,-74.17336,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,72.0,2,20,2,2,20,20,2.0,20.0,1,0,1,5,5,121,13,0,4.56,4.73,4.55,4.91,4.88,4.64,4.67,0,1,1,0,0,1.24
12,within a day,0.83,0.57,0.0,1.0,1.0,1.0,1.0,East,40.73154,-74.15641,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,60.0,2,1125,2,2,1125,1125,2.0,1125.0,1,3,33,60,150,44,0,0,4.95,4.77,4.77,4.84,4.93,4.8,4.8,0,1,0,1,0,0.46
13,within an hour,0.9,0.91,1.0,1.0,1.0,1.0,1.0,North,40.76831,-74.17289,Private room in home,Private room,1,1 private bath,1.0,1.0,69.0,1,180,1,1,180,180,1.0,180.0,1,1,7,7,177,35,4,0,4.97,5.0,4.83,4.97,5.0,4.77,4.89,0,1,0,1,0,0.38
14,within an hour,1.0,0.97,0.0,1.0,1.0,1.0,1.0,North,40.78038,-74.17197,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,64.0,5,365,5,5,1125,1125,5.0,1125.0,1,5,25,38,313,152,13,0,4.8,4.89,4.93,4.94,4.89,4.6,4.89,1,1,1,0,0,1.66
15,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,West,40.74622,-74.19636,Private room in home,Private room,2,1 shared bath,1.0,1.0,39.0,6,360,6,6,1125,1125,6.0,1125.0,1,0,0,0,199,69,7,1,4.77,4.85,4.91,4.79,4.84,4.28,4.75,1,5,0,5,0,0.78
16,,,0.0,0.0,1.0,1.0,1.0,1.0,North,40.76476,-74.17284,Entire home,Entire home/apt,10,4 baths,4.0,4.0,350.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,0,3,53,0,0,4.98,4.98,4.94,4.98,5.0,4.89,4.94,0,1,1,0,0,0.61
17,,,,0.0,1.0,1.0,1.0,1.0,Central,40.75011,-74.17937,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,100.0,5,31,5,5,31,31,5.0,31.0,0,0,0,0,0,65,0,0,4.63,4.71,4.46,4.64,4.78,4.55,4.67,0,1,0,1,0,1.01
18,,,,0.0,1.0,1.0,1.0,1.0,West,40.7361,-74.24004,Private room in home,Private room,2,1 shared bath,1.0,1.0,350.0,5,1125,5,5,1125,1125,5.0,1125.0,1,30,60,90,365,22,0,0,4.27,4.47,4.24,4.43,4.55,3.9,4.05,0,1,0,1,0,0.27
19,within a day,1.0,0.11,0.0,0.0,0.0,1.0,1.0,East,40.72976,-74.14615,Private room in rental unit,Private room,1,1 private bath,1.0,3.0,79.0,1,7,1,1,7,7,1.0,7.0,1,27,57,87,362,37,0,0,4.54,4.41,4.7,4.49,4.73,4.65,4.59,0,1,0,1,0,0.76
20,within a few hours,1.0,1.0,0.0,1.0,1.0,1.0,1.0,East,40.7315,-74.16316,Entire townhouse,Entire home/apt,4,2 baths,3.0,6.0,80.0,28,1125,28,28,1125,1125,28.0,1125.0,1,17,22,31,31,111,2,0,4.76,4.85,4.77,4.92,4.88,4.75,4.74,0,1,1,0,0,1.57
21,within an hour,1.0,0.92,1.0,0.0,0.0,1.0,1.0,South,40.70583,-74.21156,Entire guest suite,Entire home/apt,4,1 bath,1.0,2.0,121.0,2,7,2,2,1125,1125,2.0,1125.0,1,11,41,71,71,37,37,1,4.95,4.86,4.97,4.84,4.95,4.81,4.89,0,1,1,0,0,4.74
22,,,,0.0,1.0,1.0,1.0,1.0,East,40.72698,-74.15378,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,120.0,2,1125,2,2,1125,1125,2.0,1125.0,1,27,57,87,362,9,0,0,4.86,4.71,4.86,5.0,5.0,4.67,4.83,1,1,0,1,0,0.13
23,within a day,1.0,0.0,0.0,1.0,1.0,1.0,1.0,East,40.73232,-74.165,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,75.0,2,45,2,2,45,45,2.0,45.0,1,23,53,83,358,9,0,0,3.89,3.67,4.33,4.44,4.44,3.67,3.22,0,1,0,1,0,0.11
24,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.7442,-74.21874,Entire rental unit,Entire home/apt,6,2 baths,3.0,3.0,94.0,7,25,7,7,1125,1125,7.0,1125.0,1,5,22,52,312,2,2,2,4.5,5.0,4.5,5.0,5.0,2.5,5.0,1,57,40,17,0,2.0
25,within a few hours,1.0,0.92,1.0,4.0,4.0,1.0,1.0,South,40.70534,-74.20737,Entire condo,Entire home/apt,3,1 bath,1.0,1.0,85.0,10,1125,10,10,1125,1125,10.0,1125.0,1,0,0,13,103,15,3,0,4.73,4.93,4.67,4.8,4.93,4.33,4.87,0,1,1,0,0,0.19
26,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74075,-74.22714,Entire rental unit,Entire home/apt,2,1 bath,1.0,,624.0,7,25,7,7,1125,1125,7.0,1125.0,1,26,56,86,361,31,2,1,4.45,4.74,4.35,4.94,4.94,3.87,4.48,1,57,40,17,0,0.49
27,,,,0.0,1.0,1.0,1.0,1.0,South,40.7161,-74.19117,Private room in rental unit,Private room,2,1 bath,1.0,1.0,78.0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,
28,within an hour,1.0,0.98,0.0,2.0,2.0,1.0,1.0,East,40.73223,-74.14173,Private room in rental unit,Private room,2,1 shared bath,,4.0,42.0,1,28,1,1,28,28,1.0,28.0,1,15,45,75,75,76,19,3,4.92,4.93,4.96,4.96,4.91,4.67,4.88,0,1,0,1,0,1.02
29,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,East,40.73266,-74.16427,Private room in home,Private room,2,2.5 shared baths,1.0,1.0,75.0,1,1125,1,4,1125,1125,1.1,1125.0,1,21,46,72,347,379,38,3,4.48,4.66,4.59,4.82,4.77,4.64,4.58,1,13,5,7,1,4.93
30,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,East,40.73177,-74.16243,Private room in home,Private room,4,2.5 shared baths,1.0,2.0,75.0,1,1125,1,4,1125,1125,1.1,1125.0,1,22,47,67,342,312,32,6,4.52,4.72,4.73,4.79,4.7,4.54,4.6,1,13,5,7,1,4.06
31,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,East,40.73267,-74.16271,Private room in home,Private room,2,2.5 shared baths,1.0,1.0,69.0,1,1125,1,4,1125,1125,1.1,1125.0,1,20,45,71,346,257,26,3,4.23,4.46,4.47,4.77,4.68,4.5,4.38,1,13,5,7,1,3.35
32,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,West,40.74081,-74.22709,Entire condo,Entire home/apt,6,1 bath,2.0,2.0,2080.0,7,25,7,7,1125,1125,7.0,1125.0,1,25,55,85,360,17,3,0,4.35,4.59,4.53,4.65,4.94,4.41,4.47,1,57,40,17,0,0.27
33,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,East,40.73214,-74.16247,Private room in home,Private room,2,2.5 shared baths,1.0,1.0,73.0,1,1125,1,4,1125,1125,1.1,1125.0,1,21,46,73,348,234,22,2,4.55,4.7,4.76,4.76,4.73,4.69,4.65,1,13,5,7,1,3.05
34,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,East,40.73108,-74.16398,Private room in home,Private room,2,2.5 shared baths,1.0,1.0,75.0,1,1125,1,4,1125,1125,1.1,1125.0,1,19,43,70,339,301,34,7,4.58,4.72,4.73,4.81,4.8,4.66,4.62,1,13,5,7,1,3.91
35,within an hour,1.0,0.89,0.0,6.0,6.0,1.0,1.0,South,40.72073,-74.18973,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,59.0,5,1125,5,5,1125,1125,5.0,1125.0,1,27,57,87,362,5,0,0,5.0,5.0,4.8,5.0,5.0,4.6,4.8,0,8,4,4,0,0.07
36,within an hour,1.0,0.89,0.0,6.0,6.0,1.0,1.0,Central,40.72685,-74.1887,Private room in home,Private room,4,1.5 shared baths,2.0,3.0,72.0,5,1125,5,5,1125,1125,5.0,1125.0,1,17,47,77,352,16,1,1,4.13,4.44,3.88,4.69,4.44,4.19,4.31,0,8,4,4,0,0.22
37,within an hour,0.88,0.97,0.0,5.0,5.0,1.0,1.0,West,40.73565,-74.2113,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,29.0,10,1125,10,10,1125,1125,10.0,1125.0,1,19,49,79,354,36,4,0,4.09,4.16,4.09,4.52,4.06,3.32,4.19,0,5,1,4,0,0.48
38,within an hour,0.88,0.97,0.0,5.0,5.0,1.0,1.0,West,40.73563,-74.21193,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,37.0,27,1125,27,27,1125,1125,27.0,1125.0,1,19,49,79,354,36,10,0,4.28,4.34,4.09,4.76,4.28,3.51,4.4,1,5,1,4,0,0.48
39,a few days or more,0.0,0.0,0.0,1.0,1.0,1.0,1.0,South,40.70742,-74.21619,Private room in home,Private room,4,1 shared bath,1.0,4.0,52.0,1,10,1,1,10,10,1.0,10.0,1,28,58,88,88,5,0,0,4.8,5.0,4.4,5.0,5.0,4.4,5.0,0,1,0,1,0,0.07
40,within an hour,1.0,1.0,0.0,2.0,2.0,1.0,1.0,Central,40.73186,-74.19589,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,71.0,2,1125,2,2,1125,1125,2.0,1125.0,1,26,56,80,353,275,37,0,4.49,4.64,4.38,4.93,4.9,4.42,4.58,1,2,2,0,0,3.78
