,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1052,within an hour,1.0,0.99,0.0,13.0,13.0,1.0,1.0,West,40.75593,-74.2157,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,64.0,1,365,1,2,1125,1125,1.3,1125.0,1,28,58,88,363,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,12,0,12,0,2.0
1053,within an hour,1.0,1.0,0.0,3.0,3.0,1.0,1.0,East,40.67825,-74.11315,Entire serviced apartment,Entire home/apt,6,1 bath,2.0,4.0,145.0,5,280,5,7,1125,1125,5.4,1125.0,1,3,26,56,331,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,3,3,0,0,1.0
1054,within an hour,1.0,1.0,0.0,1.0,1.0,1.0,1.0,East,40.66787,-74.11205,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,106.0,8,28,3,8,1125,1125,7.3,1125.0,1,23,53,83,83,25,15,0,4.32,4.44,4.52,4.64,4.72,4.68,4.44,1,1,1,0,0,0.8
1055,within an hour,1.0,1.0,1.0,2.0,2.0,1.0,0.0,East,40.68667,-74.10665,Entire rental unit,Entire home/apt,6,1 bath,2.0,5.0,101.0,2,1125,2,2,1125,1125,2.0,1125.0,1,6,23,44,307,190,61,6,4.82,4.86,4.91,4.97,4.96,4.7,4.81,1,1,1,0,0,5.37
1056,within an hour,1.0,0.99,0.0,7.0,7.0,1.0,1.0,East,40.68735,-74.10595,Entire rental unit,Entire home/apt,11,2 baths,4.0,5.0,187.0,2,60,2,2,60,60,2.0,60.0,1,3,7,14,248,119,30,5,4.71,4.86,4.78,4.74,4.79,4.7,4.78,0,3,2,1,0,2.99
1057,within an hour,1.0,0.98,0.0,2.0,2.0,1.0,0.0,West,40.73856,-74.21735,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,112.0,1,29,1,1,1125,1125,1.0,1125.0,1,7,31,37,275,110,30,5,4.71,4.76,4.75,4.96,4.91,4.43,4.64,1,2,2,0,0,3.37
1058,within an hour,0.96,0.97,0.0,0.0,0.0,1.0,1.0,Central,40.74077,-74.15623,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,159.0,1,365,1,1,365,365,1.0,365.0,1,5,17,43,195,17,17,4,4.53,4.53,4.29,4.71,4.59,4.88,4.59,1,1,1,0,0,7.08
1059,within a few hours,1.0,0.86,0.0,3.0,3.0,1.0,1.0,South,40.70237,-74.22177,Private room in home,Private room,2,1 bath,1.0,1.0,214.0,1,1125,1,1,1125,1125,1.0,1125.0,1,11,26,48,323,0,0,0,,,,,,,,0,3,1,2,0,
1060,within a few hours,1.0,0.86,0.0,3.0,3.0,1.0,1.0,South,40.70278,-74.22039,Private room,Private room,10,1 bath,1.0,1.0,214.0,1,1125,1,1,1125,1125,1.0,1125.0,1,11,26,48,323,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3,1,2,0,0.07
1061,within a day,1.0,0.0,0.0,2.0,2.0,1.0,0.0,South,40.71026,-74.24647,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,80.0,2,5,2,2,5,5,2.0,5.0,1,2,32,62,62,5,0,0,4.4,4.8,4.2,4.75,4.6,4.0,4.5,1,1,1,0,0,0.15
1062,within an hour,0.95,0.47,0.0,6.0,6.0,1.0,1.0,South,40.6729,-74.21579,Private room in hostel,Private room,2,1 bath,1.0,1.0,40.0,2,1125,2,2,1125,1125,2.0,1125.0,1,19,49,79,354,7,2,1,4.86,4.71,4.71,5.0,5.0,4.86,5.0,0,5,0,5,0,0.3
1063,within an hour,1.0,0.5,0.0,2.0,2.0,1.0,1.0,South,40.714176,-74.235374,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,115.0,2,1125,2,2,1125,1125,2.0,1125.0,1,29,59,89,364,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,1.0
1064,within an hour,1.0,0.99,0.0,25.0,25.0,1.0,1.0,South,40.69634,-74.23024,Entire home,Entire home/apt,9,1 bath,5.0,6.0,330.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,27,57,57,8,7,1,3.88,4.38,4.5,4.88,5.0,3.75,4.0,1,8,1,7,0,0.22
1065,within an hour,1.0,0.69,1.0,0.0,0.0,1.0,0.0,South,40.70424,-74.21909,Entire rental unit,Entire home/apt,8,1 bath,2.0,5.0,195.0,3,1125,3,3,1125,1125,3.0,1125.0,1,21,51,81,356,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3,3,0,0,0.3
1066,within an hour,1.0,1.0,0.0,2.0,2.0,1.0,1.0,West,40.73083,-74.22606,Entire rental unit,Entire home/apt,6,1 bath,3.0,4.0,155.0,3,30,3,3,1125,1125,3.0,1125.0,1,16,37,67,342,5,5,1,4.2,4.4,4.2,5.0,4.2,4.2,4.2,1,3,3,0,0,0.79
1067,within an hour,1.0,1.0,0.0,19.0,19.0,1.0,1.0,South,40.69746,-74.22358,Entire home,Entire home/apt,16,4 baths,7.0,7.0,1099.0,1,1125,1,4,1125,1125,1.1,1125.0,1,6,18,47,317,27,7,0,4.15,4.3,4.3,4.44,4.48,4.22,3.85,1,13,5,7,1,1.56
1068,within an hour,1.0,0.96,0.0,7.0,7.0,1.0,1.0,South,40.72528,-74.22181,Private room in home,Private room,2,1 shared bath,1.0,1.0,49.0,10,10,3,3,1125,1125,3.0,1125.0,1,26,56,86,176,84,18,1,4.83,4.86,4.75,4.96,4.96,4.74,4.83,1,6,0,6,0,1.67
1069,within an hour,1.0,0.99,0.0,6.0,6.0,1.0,1.0,South,40.67931,-74.20104,Private room in home,Private room,1,2 shared baths,1.0,2.0,49.0,1,1125,1,1,1125,1125,1.0,1125.0,1,15,45,75,165,76,13,1,4.75,4.72,4.76,4.95,4.93,4.95,4.74,1,5,0,5,0,1.32
1070,within an hour,0.97,0.99,0.0,14.0,14.0,1.0,1.0,South,40.67818,-74.20145,Private room in home,Private room,2,1 shared bath,1.0,1.0,55.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,24,299,111,5,2,4.64,4.84,4.74,4.93,4.72,4.8,4.7,0,14,0,14,0,2.32
1071,within an hour,0.95,0.47,0.0,6.0,6.0,1.0,1.0,South,40.67335,-74.21741,Private room in guesthouse,Private room,2,1 bath,1.0,1.0,40.0,2,1125,2,2,1125,1125,2.0,1125.0,1,3,3,30,305,14,5,1,4.86,5.0,4.79,5.0,5.0,5.0,4.71,0,5,0,5,0,0.49
1072,within an hour,1.0,0.99,0.0,25.0,25.0,1.0,1.0,South,40.69555,-74.2299,Private room in home,Private room,2,1 shared bath,1.0,1.0,47.0,1,1125,1,1,1125,1125,1.0,1125.0,1,26,56,86,86,25,22,0,4.16,4.28,4.32,4.6,4.48,4.28,4.36,0,8,1,7,0,1.82
1073,within a few hours,1.0,0.88,1.0,0.0,0.0,1.0,1.0,South,40.71712,-74.22907,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,61.0,2,14,2,2,1125,1125,2.0,1125.0,1,15,45,75,75,9,9,1,5.0,5.0,5.0,5.0,5.0,4.56,5.0,0,4,1,3,0,1.21
1074,within an hour,1.0,1.0,1.0,3.0,3.0,1.0,0.0,South,40.67756,-74.2016,Private room in home,Private room,2,2.5 shared baths,1.0,1.0,100.0,1,20,1,1,1125,1125,1.0,1125.0,1,27,56,86,361,16,16,3,4.88,4.88,4.94,4.94,4.88,4.63,4.81,1,5,0,5,0,4.4
1075,within an hour,1.0,0.88,0.0,23.0,23.0,1.0,1.0,South,40.72936,-74.21627,Private room in rental unit,Private room,2,1 private bath,1.0,,55.0,1,1125,1,1,1125,1125,1.0,1125.0,1,26,56,74,164,40,10,0,4.0,4.23,3.78,4.45,4.33,4.15,4.08,1,20,0,20,0,1.32
1076,within a few hours,1.0,0.88,1.0,0.0,0.0,1.0,1.0,South,40.7191,-74.22946,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,55.0,2,21,2,2,1125,1125,2.0,1125.0,1,4,9,36,36,12,12,1,4.83,4.92,4.92,4.83,4.92,4.75,4.83,0,4,1,3,0,1.22
1077,within an hour,1.0,0.96,0.0,7.0,7.0,1.0,1.0,South,40.72506,-74.22238,Private room in home,Private room,2,1 shared bath,1.0,1.0,49.0,2,10,3,3,1125,1125,3.0,1125.0,1,11,41,71,161,66,15,1,4.8,4.86,4.65,4.98,4.95,4.3,4.74,0,6,0,6,0,1.31
1078,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,0.0,South,40.69463,-74.24282,Private room in home,Private room,2,1 shared bath,1.0,1.0,143.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,26,56,330,0,0,0,,,,,,,,1,1,0,1,0,
1079,within an hour,1.0,0.97,1.0,3.0,3.0,1.0,1.0,South,40.67502,-74.20395,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,149.0,1,1125,1,2,1125,1125,1.3,1125.0,1,2,21,51,325,43,19,1,4.93,4.93,4.81,4.98,4.93,4.65,4.86,0,1,1,0,0,1.34
1080,within an hour,1.0,0.88,0.0,23.0,23.0,1.0,1.0,South,40.72892,-74.21633,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,48.0,1,90,1,1,90,90,1.0,90.0,1,1,4,33,122,33,12,0,4.24,4.33,4.18,4.58,4.52,4.03,4.24,0,20,0,20,0,1.02
1081,within an hour,0.97,0.99,0.0,14.0,14.0,1.0,1.0,South,40.67846,-74.20023,Private room in home,Private room,1,2 shared baths,1.0,1.0,82.0,1,1125,1,1,1125,1125,1.0,1125.0,1,26,44,63,324,523,87,4,4.61,4.79,4.7,4.84,4.73,4.79,4.75,0,14,0,14,0,8.35
1082,within a few hours,1.0,0.88,0.0,1.0,1.0,1.0,1.0,West,40.75597,-74.21796,Private room in home,Private room,2,1.5 baths,1.0,1.0,42.0,2,365,2,2,1125,1125,2.0,1125.0,1,0,0,11,269,7,5,1,3.43,3.86,3.57,4.57,3.43,3.86,3.43,1,1,0,1,0,0.23
1083,within an hour,0.83,0.97,0.0,5.0,5.0,1.0,0.0,West,40.73492,-74.21465,Private room in home,Private room,2,0 shared baths,1.0,1.0,50.0,1,365,1,1,365,365,1.0,365.0,1,30,60,90,365,2,2,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,7,0,7,0,0.54
1084,within an hour,0.99,0.98,0.0,35.0,35.0,1.0,1.0,Central,40.74179,-74.15888,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,127.0,1,1125,1,2,1125,1125,1.3,1125.0,1,23,53,83,83,26,17,1,4.85,4.96,4.92,4.88,4.92,4.77,4.81,0,2,2,0,0,1.38
1085,within an hour,1.0,0.91,1.0,1.0,1.0,1.0,1.0,North,40.76402,-74.14504,Entire rental unit,Entire home/apt,8,2 baths,2.0,4.0,199.0,2,365,2,2,1125,1125,2.0,1125.0,1,18,48,78,333,0,0,0,,,,,,,,1,8,8,0,0,
1086,within a few hours,1.0,0.92,0.0,0.0,0.0,1.0,1.0,North,40.75914,-74.14815,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,108.0,1,95,1,1,95,95,1.0,95.0,1,3,3,3,65,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.14
1087,within an hour,1.0,0.54,0.0,10.0,10.0,1.0,0.0,North,40.76037,-74.15178,Entire home,Entire home/apt,8,1 bath,4.0,4.0,250.0,5,365,5,5,1125,1125,5.0,1125.0,1,30,60,90,365,0,0,0,,,,,,,,1,1,1,0,0,
1088,,,1.0,0.0,0.0,0.0,1.0,1.0,East,40.65664,-74.12318,Private room in townhouse,Private room,2,2 shared baths,1.0,1.0,60.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,9,39,129,40,11,0,4.98,4.98,4.95,5.0,5.0,4.9,5.0,1,1,0,1,0,0.92
1089,,,,0.0,4.0,4.0,1.0,0.0,Central,40.74888,-74.16291,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,109.0,7,1125,7,7,1125,1125,7.0,1125.0,1,0,0,0,258,11,11,1,4.64,4.64,4.45,4.45,4.45,4.36,4.64,1,4,4,0,0,0.91
1090,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,1.0,East,40.69081,-74.1053,Entire rental unit,Entire home/apt,11,2 baths,3.0,7.0,310.0,3,28,2,7,28,28,5.7,28.0,1,12,38,68,158,7,7,3,4.71,4.86,4.57,4.57,4.86,4.71,4.86,0,2,2,0,0,3.56
1091,within a few hours,1.0,0.33,0.0,1.0,1.0,1.0,1.0,West,40.75856,-74.23089,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,262.0,3,365,3,3,1125,1125,3.0,1125.0,1,30,60,90,365,0,0,0,,,,,,,,1,3,3,0,0,
1092,within an hour,1.0,0.88,1.0,2.0,2.0,1.0,1.0,East,40.69744,-74.10419,Entire rental unit,Entire home/apt,6,1 bath,2.0,4.0,196.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,1,25,300,31,5,0,4.61,4.73,4.33,5.0,5.0,4.87,4.61,0,2,2,0,0,0.42
1093,within an hour,0.83,0.97,0.0,5.0,5.0,1.0,0.0,West,40.735,-74.2163,Private room in home,Private room,2,0 shared baths,1.0,1.0,50.0,1,365,1,1,1125,1125,1.0,1125.0,1,30,60,90,365,2,2,0,4.0,4.5,5.0,5.0,4.0,4.0,4.0,1,7,0,7,0,0.34
1094,within a few hours,0.91,0.81,0.0,2.0,2.0,1.0,1.0,West,40.76332,-74.22602,Entire guesthouse,Entire home/apt,4,1 bath,2.0,2.0,91.0,2,15,2,2,15,15,2.0,15.0,1,23,53,83,83,10,10,0,3.8,3.6,3.9,4.2,4.3,3.8,3.4,0,2,2,0,0,0.97
1095,within an hour,1.0,0.94,0.0,7.0,7.0,1.0,1.0,West,40.75035,-74.20334,Entire rental unit,Entire home/apt,9,2 baths,3.0,4.0,339.0,1,14,1,1,1125,1125,1.0,1125.0,1,27,55,83,358,3,3,3,4.33,4.33,4.67,4.0,5.0,3.67,3.67,1,3,3,0,0,3.0
1096,within a few hours,1.0,0.75,0.0,0.0,0.0,1.0,1.0,West,40.7678,-74.21558,Entire townhouse,Entire home/apt,5,2.5 baths,3.0,5.0,200.0,2,20,2,2,1125,1125,2.0,1125.0,1,13,43,73,163,0,0,0,,,,,,,,1,1,1,0,0,
1097,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,0.0,North,40.79663,-74.16399,Entire loft,Entire home/apt,2,1 bath,1.0,2.0,160.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,1,11,286,11,11,2,5.0,5.0,5.0,5.0,5.0,4.91,4.91,1,1,1,0,0,2.68
1098,within an hour,0.95,0.98,1.0,5.0,5.0,1.0,1.0,East,40.70212,-74.09935,Entire townhouse,Entire home/apt,8,2 baths,3.0,4.0,155.0,30,1125,30,30,1125,1125,30.0,1125.0,1,9,39,69,159,11,2,0,4.64,4.82,4.73,5.0,5.0,4.45,4.73,1,2,2,0,0,0.25
1099,within an hour,1.0,0.98,1.0,5.0,5.0,1.0,1.0,North,40.79277,-74.15674,Entire condo,Entire home/apt,4,1.5 baths,1.0,2.0,79.0,5,180,5,5,180,180,5.0,180.0,1,9,39,69,344,6,5,0,4.67,4.83,4.33,4.83,5.0,4.67,4.67,0,4,1,3,0,0.49
1100,within an hour,1.0,1.0,0.0,2.0,2.0,1.0,1.0,West,40.76046,-74.21378,Entire home,Entire home/apt,6,1 bath,2.0,2.0,129.0,3,7,3,3,7,7,3.0,7.0,1,22,41,67,157,137,26,4,4.59,4.69,4.53,4.85,4.88,4.61,4.61,0,1,1,0,0,2.74
1101,within a few hours,0.58,1.0,0.0,1.0,1.0,0.0,0.0,West,40.7237058,-74.2522432,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,300.0,1,365,1,1,365,365,1.0,365.0,1,27,57,87,362,0,0,0,,,,,,,,1,1,1,0,0,
1102,within a few hours,1.0,0.33,0.0,1.0,1.0,1.0,1.0,West,40.75829,-74.22878,Entire condo,Entire home/apt,4,1 bath,1.0,1.0,300.0,1,365,1,1,365,365,1.0,365.0,1,30,60,90,365,0,0,0,,,,,,,,1,3,3,0,0,
1103,within an hour,1.0,0.97,1.0,3.0,3.0,1.0,1.0,East,40.6583,-74.12674,Entire condo,Entire home/apt,3,1 bath,1.0,2.0,86.0,2,60,2,2,1125,1125,2.0,1125.0,1,24,52,82,171,188,79,3,4.72,4.82,4.81,4.98,4.94,4.8,4.75,0,2,2,0,0,5.16
1104,within an hour,1.0,1.0,0.0,10.0,10.0,1.0,1.0,North,40.78358,-74.20299,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,121.0,28,1125,28,28,1125,1125,28.0,1125.0,1,0,11,41,131,38,4,0,4.92,4.95,4.76,4.87,4.97,4.71,4.71,0,3,3,0,0,1.18
1105,within a day,0.69,0.86,0.0,6.0,6.0,1.0,1.0,East,40.67676,-74.10971,Private room in home,Private room,1,2 shared baths,1.0,1.0,56.0,3,29,3,3,29,29,3.0,29.0,1,27,57,87,362,13,11,1,4.69,4.69,4.69,4.69,4.69,4.77,4.69,0,4,0,4,0,0.22
1106,within an hour,0.96,1.0,0.0,4.0,4.0,1.0,1.0,North,40.77448,-74.20856,Private room in home,Private room,1,1 shared bath,1.0,1.0,30.0,6,365,6,6,1125,1125,6.0,1125.0,1,9,39,69,344,4,4,0,4.25,4.5,4.5,4.75,4.5,4.0,4.25,1,4,0,4,0,1.14
1107,within a day,1.0,1.0,0.0,1.0,1.0,1.0,1.0,West,40.7634,-74.23864,Private room in home,Private room,2,1 shared bath,1.0,1.0,130.0,1,90,1,1,1125,1125,1.0,1125.0,1,0,25,55,330,12,0,0,4.83,4.75,4.58,4.75,4.75,4.67,4.67,1,1,0,1,0,0.27
1108,within a few hours,1.0,0.76,0.0,1.0,1.0,1.0,0.0,West,40.74837,-74.25635,Private room in home,Private room,1,1 private bath,1.0,1.0,55.0,1,5,1,1,5,5,1.0,5.0,1,9,39,64,326,65,15,1,4.77,4.88,4.63,4.91,4.86,4.92,4.81,0,1,0,1,0,0.66
1109,within an hour,1.0,0.95,0.0,1.0,1.0,1.0,1.0,East,40.665,-74.12545,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,60.0,1,365,1,1,365,365,1.0,365.0,1,25,54,84,359,21,21,6,4.38,4.43,4.62,4.62,4.81,4.57,4.48,0,1,0,1,0,4.74
1110,within a few hours,1.0,1.0,0.0,0.0,0.0,1.0,0.0,South,40.68207,-74.19961,Entire home,Entire home/apt,10,2 baths,3.0,5.0,276.0,2,14,2,2,14,14,2.0,14.0,1,15,45,75,347,10,10,2,4.9,4.8,5.0,4.9,5.0,4.9,4.9,0,1,1,0,0,3.09
1111,within an hour,0.97,0.99,0.0,14.0,14.0,1.0,1.0,South,40.6793,-74.20101,Private room in home,Private room,2,1 shared bath,1.0,1.0,119.0,1,1125,1,1,1125,1125,1.0,1125.0,1,14,35,62,337,40,40,2,4.1,4.28,4.3,4.3,4.18,4.38,4.08,1,14,0,14,0,3.72
1112,within an hour,1.0,1.0,1.0,25.0,25.0,1.0,1.0,South,40.67702,-74.20597,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,38.0,1,365,1,1,365,365,1.0,365.0,1,3,33,63,338,12,12,7,4.83,4.83,4.92,4.92,4.75,4.67,4.67,1,7,0,7,0,8.0
1113,within an hour,1.0,0.69,1.0,0.0,0.0,1.0,0.0,South,40.70292,-74.21885,Entire rental unit,Entire home/apt,10,1.5 baths,4.0,7.0,400.0,3,365,3,3,1125,1125,3.0,1125.0,1,23,53,83,358,0,0,0,,,,,,,,1,3,3,0,0,
1114,within an hour,1.0,1.0,0.0,79.0,79.0,1.0,1.0,South,40.72992,-74.21765,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,1090.0,30,1125,30,30,1125,1125,30.0,1125.0,1,30,60,90,365,0,0,0,,,,,,,,1,57,40,17,0,
1115,within an hour,1.0,0.99,1.0,5.0,5.0,1.0,0.0,South,40.6776,-74.19783,Private room in home,Private room,2,1 private bath,1.0,1.0,65.0,1,300,1,2,1125,1125,1.3,1125.0,1,0,0,24,299,17,17,0,4.94,5.0,5.0,4.88,5.0,4.94,4.94,0,6,0,6,0,1.5
1116,within an hour,1.0,0.95,0.0,0.0,0.0,1.0,1.0,South,40.68054,-74.19964,Entire place,Entire home/apt,2,1 bath,1.0,1.0,147.0,1,365,1,1,365,365,1.0,365.0,1,6,36,66,341,20,20,4,4.65,4.75,4.85,4.9,4.85,4.85,4.55,0,1,1,0,0,1.73
1117,within a day,1.0,0.86,0.0,0.0,0.0,1.0,0.0,South,40.7224,-74.22481,Private room in rental unit,Private room,1,1 bath,1.0,,40.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,25,55,55,7,7,0,4.71,4.71,4.57,4.71,5.0,4.57,4.57,0,1,0,1,0,0.73
1118,within a few hours,0.87,0.97,1.0,0.0,0.0,1.0,1.0,West,40.75116,-74.22299,Private room in home,Private room,2,1 shared bath,1.0,2.0,75.0,1,28,1,1,1125,1125,1.0,1125.0,1,30,60,90,365,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,7,1,6,0,0.26
1119,within a few hours,0.87,0.97,1.0,0.0,0.0,1.0,1.0,West,40.7543,-74.22005,Private room in home,Private room,2,1 shared bath,1.0,1.0,75.0,1,28,1,1,1125,1125,1.0,1125.0,1,30,60,90,365,0,0,0,,,,,,,,0,7,1,6,0,
1120,within an hour,0.91,0.97,0.0,2.0,2.0,1.0,1.0,West,40.76533,-74.24694,Entire rental unit,Entire home/apt,10,1 bath,3.0,4.0,222.0,1,1125,1,1,1125,1125,1.0,1125.0,1,9,28,58,148,53,29,1,4.25,4.53,4.85,4.7,4.64,4.32,4.3,1,1,1,0,0,3.13
1121,within an hour,1.0,0.88,0.0,23.0,23.0,1.0,1.0,South,40.73221,-74.21565,Private room in rental unit,Private room,2,1 bath,1.0,1.0,47.0,1,90,1,1,1125,1125,1.0,1125.0,1,26,56,86,176,32,2,1,4.0,4.06,3.91,4.13,4.41,3.84,3.97,1,20,0,20,0,0.96
1122,within an hour,1.0,0.99,0.0,7.0,7.0,1.0,1.0,East,40.68877,-74.10786,Private room in rental unit,Private room,9,1 private bath,3.0,6.0,130.0,2,90,2,2,1125,1125,2.0,1125.0,1,5,17,29,238,101,31,1,4.55,4.59,4.63,4.75,4.83,4.6,4.61,0,3,2,1,0,2.72
1123,within an hour,0.9,0.96,0.0,1.0,1.0,1.0,0.0,West,40.75633,-74.21391,Private room in home,Private room,1,1 shared bath,1.0,1.0,69.0,5,1125,5,5,1125,1125,5.0,1125.0,1,0,0,25,300,4,4,0,5.0,5.0,4.75,5.0,5.0,4.75,4.25,1,3,0,3,0,0.68
1124,within an hour,1.0,0.95,0.0,1.0,1.0,1.0,1.0,West,40.75329,-74.2188,Entire home,Entire home/apt,8,3 baths,3.0,4.0,185.0,1,1125,1,1,1125,1125,1.0,1125.0,1,19,38,67,338,48,48,7,4.79,4.81,4.77,4.81,4.88,4.52,4.73,1,1,1,0,0,4.57
1125,within an hour,0.98,0.54,0.0,0.0,0.0,1.0,0.0,West,40.76874,-74.21857,Entire rental unit,Entire home/apt,3,1 bath,1.0,4.0,53.0,2,28,2,2,28,28,2.0,28.0,1,1,16,38,128,1,1,1,4.0,5.0,5.0,5.0,5.0,3.0,5.0,0,1,1,0,0,1.0
1126,within an hour,1.0,0.87,0.0,1185.0,1185.0,1.0,1.0,Central,40.74262,-74.15879,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,1.0,196.0,30,365,30,30,365,365,30.0,365.0,1,30,60,90,365,0,0,0,,,,,,,,1,5,5,0,0,
1127,within an hour,1.0,1.0,1.0,12.0,12.0,1.0,1.0,North,40.7887,-74.19173,Entire home,Entire home/apt,6,1 bath,2.0,3.0,200.0,3,1125,3,3,1125,1125,3.0,1125.0,1,12,33,63,332,151,24,3,4.95,4.97,4.96,4.97,4.99,4.83,4.89,1,8,8,0,0,3.01
1128,within a few hours,1.0,0.33,0.0,1.0,1.0,1.0,1.0,West,40.75801,-74.23058,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,271.0,3,10,3,3,1125,1125,3.0,1125.0,1,30,60,90,90,0,0,0,,,,,,,,0,3,3,0,0,
1129,within an hour,1.0,0.99,1.0,5.0,5.0,1.0,1.0,North,40.78597,-74.1603,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,131.0,4,1125,4,4,1125,1125,4.0,1125.0,1,26,51,81,261,216,26,1,4.91,4.92,4.86,4.95,4.95,4.75,4.81,0,2,2,0,0,3.81
1130,within an hour,1.0,1.0,0.0,6.0,6.0,1.0,1.0,West,40.72281,-74.24662,Private room in home,Private room,2,1 shared bath,1.0,1.0,57.0,1,21,1,1,1125,1125,1.0,1125.0,1,0,26,56,331,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5,3,2,0,1.15
1131,within an hour,1.0,0.98,1.0,5.0,5.0,1.0,1.0,North,40.79083,-74.15639,Private room in home,Private room,3,1.5 shared baths,1.0,2.0,51.0,4,180,4,4,180,180,4.0,180.0,1,13,43,73,348,7,7,2,4.86,4.71,4.57,4.86,4.86,4.86,4.71,0,4,1,3,0,2.56
1132,within an hour,0.71,1.0,0.0,0.0,0.0,1.0,0.0,North,40.78823,-74.13198,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,100.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,25,55,330,4,4,0,4.75,5.0,4.75,5.0,4.75,5.0,5.0,1,1,1,0,0,0.61
1133,within an hour,1.0,1.0,1.0,2.0,2.0,1.0,1.0,Central,40.74918,-74.15334,Entire home,Entire home/apt,6,1.5 baths,3.0,5.0,159.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,24,299,15,6,1,4.67,4.8,4.67,4.87,4.73,4.73,4.67,0,1,1,0,0,0.41
1134,within an hour,1.0,1.0,0.0,0.0,0.0,1.0,0.0,East,40.6559,-74.12504,Private room in condo,Private room,2,2 baths,1.0,1.0,64.0,3,27,3,3,1125,1125,3.0,1125.0,1,21,51,67,230,1,1,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1,3,0,3,0,1.0
1135,within a day,0.86,0.67,0.0,1.0,1.0,1.0,1.0,West,40.72708,-74.25138,Private room in bed and breakfast,Private room,2,1 bath,1.0,1.0,125.0,1,7,1,1,7,7,1.0,7.0,1,19,49,79,79,7,3,1,4.71,4.86,5.0,4.57,4.71,5.0,4.86,0,1,0,1,0,0.15
1136,,,0.67,1.0,1.0,1.0,1.0,1.0,Central,40.75423,-74.14664,Private room in earthen home,Private room,2,1 shared bath,1.0,2.0,55.0,5,365,5,5,1125,1125,5.0,1125.0,1,0,0,0,238,3,1,0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,1,1,0,1,0,0.09
